Length,Height,Weight,Age
1.075,0.275,12.28950825,8.0
0.8125,0.2125,5.20213325,6.0
1.475,0.3625,22.75047375,10.0
0.875,0.225,5.06038575,6.0
1.525,0.3875,31.127751,12.0
1.2,0.3,16.85377775,8.0
1.2375,0.3375,17.78931125,10.0
1.5125,0.4125,32.1199835,10.0
0.7375,0.1875,3.005047,6.0
1.1,0.275,10.77281,8.0
1.5,0.4125,34.60056475,10.0
1.2625,0.3125,14.5432935,8.0
1.1125,0.275,9.19941275,8.0
1.4625,0.3625,21.27629975,11.0
1.1,0.275,11.12717875,7.0
1.0,0.2375,8.618248,6.0
0.8125,0.175,4.252425,6.0
1.3625,0.325,22.80717275,8.0
1.2875,0.35,20.3265915,11.0
1.6125,0.4,34.23202125,10.0
1.5625,0.4375,40.9083285,11.0
1.4,0.4,26.01066625,15.0
1.4625,0.4125,29.596878,10.0
0.725,0.1625,2.721552,7.0
1.6,0.3875,32.16250775,10.0
1.6375,0.5125,42.2124055,18.0
1.6375,0.4375,41.900561,10.0
1.525,0.375,35.50774875,16.0
1.2625,0.3125,18.6256215,10.0
0.8375,0.25,5.8116475,7.0
1.675,0.475,43.0628905,8.0
1.1,0.2625,10.24834425,8.0
1.525,0.425,32.2333815,13.0
1.025,0.3125,9.8939755,10.0
1.3125,0.325,21.47474625,11.0
1.375,0.3875,27.5273645,19.0
0.875,0.2375,5.443104,7.0
1.0875,0.275,11.396499,13.0
1.4625,0.3875,24.4089195,9.0
1.575,0.3875,28.36367475,9.0
1.4125,0.275,22.2543575,9.0
0.5875,0.1,1.8994165,4.0
0.9625,0.25,7.27164675,6.0
1.4125,0.4375,26.32251075,11.0
1.2125,0.2625,14.458245,8.0
1.3875,0.4375,21.035329,9.0
0.925,0.2375,7.44174375,11.0
1.125,0.3,11.94931425,7.0
1.5125,0.4125,35.19590425,13.0
1.575,0.4375,34.529691,12.0
1.5625,0.4375,35.6920205,13.0
1.4625,0.375,28.0943545,9.0
1.475,0.425,27.76833525,15.0
1.6375,0.4375,38.725417,11.0
1.525,0.375,31.70891575,12.0
1.375,0.3875,20.184844,9.0
1.5375,0.425,36.18813675,14.0
0.725,0.1625,2.494756,5.0
1.6375,0.4375,41.730464,12.0
0.5125,0.1375,1.077281,5.0
1.45,0.35,27.78251,9.0
1.4875,0.425,31.28367325,9.0
1.1125,0.3125,12.74310025,9.0
1.4875,0.325,23.57260925,9.0
1.525,0.375,32.2333815,10.0
0.8875,0.2125,5.3013565,7.0
0.975,0.225,7.994559,7.0
1.3125,0.4,25.51455,10.0
1.175,0.3,14.07552675,12.0
1.075,0.275,11.6516445,7.0
0.95,0.25,7.1157245,6.0
1.125,0.275,13.36678925,9.0
1.5625,0.4625,35.67784575,10.0
1.05,0.25,11.5382465,7.0
1.25,0.325,18.75319425,8.0
1.325,0.3125,23.85610425,17.0
1.275,0.3375,23.586784,17.0
1.5625,0.4,31.62386725,11.0
1.0375,0.225,8.3631025,7.0
0.9,0.225,6.10931725,6.0
1.6125,0.4,36.47163175,11.0
1.575,0.4375,38.725417,18.0
1.375,0.425,25.060958,15.0
1.45,0.3625,25.69882175,8.0
1.4625,0.3875,24.720764,10.0
0.6875,0.2,2.721552,6.0
0.9375,0.2375,7.144074,6.0
1.175,0.2875,14.3731965,9.0
1.525,0.425,31.70891575,12.0
1.1875,0.375,15.1102835,9.0
1.4375,0.375,27.51318975,9.0
0.8,0.2125,4.819415,6.0
1.6,0.375,32.89959475,11.0
1.2875,0.35,18.5689225,9.0
1.3375,0.375,19.43358225,10.0
1.4875,0.3875,31.6096925,10.0
1.425,0.325,22.77882325,9.0
1.4,0.425,28.91649,10.0
1.5125,0.375,29.01571325,12.0
1.15,0.2875,11.09882925,6.0
1.6375,0.45,38.215126,10.0
1.6125,0.3875,31.75144,10.0
1.325,0.425,22.339406,13.0
0.875,0.2125,5.443104,6.0
1.15,0.3125,13.08329425,8.0
1.225,0.3125,17.84601025,8.0
0.9125,0.2,6.13766675,7.0
1.5,0.425,33.0271675,19.0
1.3,0.3625,22.92057075,12.0
1.5875,0.4375,35.096681,13.0
1.575,0.4875,38.82464025,19.0
0.6,0.1375,2.05533875,7.0
0.9,0.225,6.0384435,8.0
1.525,0.4125,30.94347925,12.0
0.9625,0.25,8.23552975,9.0
1.1875,0.3125,14.8834875,10.0
1.3,0.325,17.463292,9.0
0.925,0.225,5.6699,6.0
1.3125,0.3375,21.829115,8.0
1.65,0.4375,34.8415355,12.0
1.2,0.3125,15.932419,8.0
1.6125,0.4,34.699788,10.0
0.6375,0.175,2.02698925,5.0
1.3625,0.4,24.7491135,15.0
0.8625,0.2625,6.3219385,5.0
1.575,0.3625,30.05047,10.0
1.0625,0.2625,10.27669375,8.0
1.425,0.4375,28.91649,9.0
1.2875,0.3125,18.92329125,9.0
1.45,0.325,22.5378525,9.0
1.375,0.4,25.16018125,20.0
1.125,0.2875,11.169703,7.0
1.6125,0.45,39.98696975,11.0
0.85,0.225,5.03203625,6.0
1.875,0.475,72.4329725,15.0
1.575,0.4125,32.0065855,10.0
1.375,0.35,18.75319425,9.0
1.5,0.4125,31.808139,12.0
1.5625,0.4125,30.4190135,10.0
1.1125,0.35,13.11164375,11.0
0.9,0.2375,6.30776375,7.0
1.425,0.3875,30.51823675,11.0
1.55,0.3625,30.05047,11.0
1.525,0.3875,28.5479465,11.0
1.0125,0.25,9.4970825,8.0
1.0375,0.275,10.886208,8.0
1.6375,0.475,40.24211525,10.0
0.7,0.1875,2.721552,5.0
1.175,0.2875,13.8062065,9.0
1.525,0.4125,30.43318825,13.0
1.3625,0.3625,22.41027975,8.0
1.5375,0.4625,31.25532375,12.0
1.1875,0.3,13.8062065,8.0
1.125,0.3,13.53688625,8.0
1.5875,0.4375,33.8776525,10.0
1.4875,0.4,26.97454925,9.0
1.3875,0.3375,27.78251,9.0
1.0625,0.2625,11.1413535,10.0
1.7125,0.5375,52.34735175,11.0
1.0375,0.2875,9.87980075,9.0
1.5625,0.4125,34.8415355,12.0
1.375,0.425,24.834162,19.0
1.575,0.3875,34.68561325,13.0
1.4875,0.4125,27.0170735,15.0
1.3625,0.3625,23.48756075,8.0
1.075,0.275,10.41844125,8.0
1.225,0.3375,16.76872925,7.0
1.0375,0.25,9.08601475,8.0
1.1625,0.275,12.99824575,8.0
1.75,0.475,52.219779,11.0
1.4,0.3625,24.96173475,11.0
1.125,0.275,12.51630425,8.0
1.575,0.425,39.2440575,11.0
1.4875,0.375,31.581343,11.0
1.1875,0.35,13.8062065,12.0
1.4625,0.4,27.93843225,10.0
0.45,0.1,0.66621325,4.0
0.875,0.2,6.0384435,6.0
1.6,0.3875,42.82191975,10.0
1.65,0.3875,36.61337925,10.0
1.4,0.375,24.720764,9.0
1.175,0.3125,13.22504175,7.0
1.2625,0.3125,17.84601025,8.0
1.225,0.275,16.9246515,9.0
1.4125,0.4125,24.50814275,12.0
1.55,0.375,28.8881405,8.0
1.1375,0.3125,12.9557215,10.0
0.9,0.225,5.06038575,6.0
1.1125,0.325,10.77281,8.0
1.525,0.425,28.76056775,15.0
1.425,0.3625,24.6924145,8.0
0.95,0.25,8.63242275,7.0
0.675,0.2,2.721552,10.0
1.2875,0.3125,15.74814725,9.0
1.4,0.375,27.51318975,8.0
1.375,0.3125,23.88445375,10.0
1.4875,0.45,32.36095425,9.0
1.5,0.4125,32.6869735,12.0
1.675,0.5,38.96638775,12.0
1.2375,0.3,15.6772735,8.0
1.1625,0.2625,12.984071,9.0
1.375,0.3625,24.777463,10.0
1.4375,0.3875,30.0221205,10.0
1.025,0.2375,9.3836845,7.0
1.3125,0.375,20.97863,13.0
1.55,0.4,32.034935,18.0
1.3,0.375,16.9246515,14.0
1.475,0.45,30.40483875,16.0
1.275,0.3,18.69649525,9.0
1.0,0.25,9.695529,7.0
1.3125,0.35,23.51591025,10.0
1.4625,0.3625,31.127751,14.0
1.2625,0.375,25.69882175,13.0
0.9125,0.2375,6.0384435,6.0
1.5625,0.4125,37.15201975,10.0
1.55,0.4,28.64716975,9.0
1.325,0.375,21.75824125,8.0
1.575,0.4125,37.23706825,10.0
0.975,0.225,7.18659825,6.0
1.175,0.3125,12.47378,8.0
1.425,0.4375,25.51455,10.0
1.575,0.425,30.1922175,11.0
1.5625,0.425,33.962701,10.0
1.1,0.275,13.04077,11.0
0.6875,0.2,2.83495,6.0
1.375,0.35,23.09066775,8.0
1.3625,0.4125,21.24795025,19.0
0.5625,0.125,1.54504775,6.0
1.5,0.3875,30.43318825,10.0
1.3,0.2875,17.36406875,8.0
1.5625,0.4125,32.89959475,10.0
0.575,0.175,1.80019325,4.0
1.475,0.3125,24.720764,10.0
1.2875,0.35,22.75047375,11.0
1.25,0.3125,15.43630275,9.0
1.425,0.425,30.674159,14.0
1.65,0.4375,44.74968575,10.0
1.5625,0.4125,37.0527965,11.0
1.1375,0.275,12.37455675,8.0
1.6125,0.425,38.8104655,11.0
1.4625,0.4125,31.638042,9.0
1.8125,0.5,61.3766675,11.0
1.3625,0.375,21.44639675,10.0
1.1875,0.25,14.75591475,8.0
1.6625,0.3875,37.1094955,10.0
1.5125,0.375,30.5891105,21.0
1.3,0.275,18.10115575,8.0
1.4125,0.35,23.855532,10.0
1.6,0.4375,38.55532,20.0
1.15,0.275,13.11164375,8.0
0.575,0.1375,1.31825175,6.0
1.0625,0.325,10.829509,10.0
1.525,0.4125,31.18445,18.0
1.7375,0.4875,44.395317,13.0
1.6,0.4,41.97143475,11.0
0.875,0.225,4.80524025,6.0
1.5125,0.425,37.931631,10.0
1.1,0.3125,12.6722265,8.0
0.4125,0.0875,0.510291,4.0
1.675,0.475,45.7277435,13.0
0.6375,0.1625,1.80019325,4.0
1.3125,0.3625,23.94115275,12.0
1.4375,0.375,22.055911,9.0
1.3625,0.4125,24.9192105,12.0
1.5125,0.3875,29.823674,10.0
1.65,0.4,36.35823375,11.0
1.6125,0.45,43.318036,15.0
1.025,0.2375,9.128539,8.0
1.625,0.425,42.2124055,8.0
1.55,0.4125,29.80949925,27.0
1.0625,0.2875,10.41844125,10.0
0.8,0.2,4.91863825,8.0
1.425,0.3625,27.73998575,13.0
0.9375,0.2375,6.95980225,9.0
1.525,0.4875,37.1094955,17.0
1.325,0.3625,20.921931,13.0
1.275,0.3125,19.20678625,8.0
1.6375,0.4375,39.7743485,21.0
1.1,0.325,12.757275,11.0
1.1,0.2625,11.55242125,7.0
1.4375,0.4125,26.3933845,8.0
1.2125,0.35,16.76872925,9.0
1.675,0.4625,38.8104655,11.0
1.4375,0.4125,31.9498865,17.0
1.1625,0.275,14.17475,8.0
1.4,0.3625,25.7696955,9.0
1.1875,0.2625,14.72756525,9.0
0.9625,0.25,8.23552975,7.0
0.7,0.175,3.1467945,6.0
0.975,0.25,9.19941275,8.0
1.4375,0.375,24.9192105,10.0
1.4,0.3375,22.75047375,8.0
1.5,0.4125,31.127751,10.0
0.95,0.225,7.55514175,7.0
1.325,0.375,21.659018,8.0
1.075,0.275,10.319218,8.0
1.0,0.3,9.695529,7.0
1.2375,0.375,24.79163775,11.0
1.75,0.4375,49.85259575,18.0
1.6125,0.425,38.88133925,12.0
1.0,0.25,7.69688925,8.0
0.9375,0.25,6.2085405,6.0
1.2625,0.3125,18.78154375,8.0
1.675,0.5,46.6916265,21.0
1.475,0.3875,29.7386255,8.0
1.125,0.3,13.437663,9.0
1.175,0.3,13.210867,8.0
1.2375,0.2875,14.44407025,7.0
1.175,0.3125,16.386011,7.0
1.5,0.425,35.11085575,10.0
1.6875,0.4625,47.62716,16.0
1.025,0.2625,10.0073735,8.0
1.475,0.375,24.8625115,9.0
1.5625,0.4375,37.77570875,13.0
1.6,0.4125,38.73959175,11.0
1.2125,0.3125,14.47241975,9.0
1.5625,0.4,32.98464325,11.0
1.125,0.3,10.716111,7.0
1.4375,0.4,26.40755925,14.0
1.3125,0.4375,22.29688175,20.0
1.625,0.4875,38.51279575,9.0
0.775,0.225,3.98310475,11.0
1.575,0.4,30.94347925,10.0
1.0,0.25,9.73805325,7.0
1.3125,0.375,20.87940675,10.0
1.475,0.4125,35.210079,11.0
1.5125,0.45,33.1972645,19.0
1.6125,0.425,38.612019,9.0
1.3125,0.3,16.76872925,10.0
1.4375,0.3875,22.5378525,12.0
1.625,0.425,36.3157095,14.0
1.775,0.5,43.6298805,10.0
1.0875,0.25,9.4970825,7.0
1.425,0.4125,30.674159,21.0
0.8875,0.25,6.08096775,7.0
1.4375,0.3625,27.08794725,12.0
1.525,0.5,37.1094955,11.0
1.4625,0.4875,30.730858,9.0
1.5625,0.3875,28.64716975,10.0
1.5125,0.4,34.5013415,10.0
1.25,0.3625,21.659018,15.0
1.25,0.3125,16.9813505,15.0
1.5,0.375,30.4190135,9.0
1.4375,0.4,28.8314415,9.0
0.9875,0.2,8.845044,7.0
1.4,0.375,24.84833675,9.0
1.4375,0.4125,26.54930675,15.0
1.575,0.4,34.79901125,11.0
1.725,0.5375,45.756093,17.0
1.55,0.4375,30.6458095,9.0
1.425,0.4,28.33532525,9.0
1.425,0.425,26.03901575,14.0
1.3625,0.3625,23.51591025,9.0
1.7625,0.475,48.7327905,11.0
1.35,0.3625,21.38969775,8.0
0.9375,0.25,8.66077225,7.0
0.7875,0.2125,3.6570855,6.0
1.1375,0.3,11.55242125,9.0
1.1,0.3125,12.927372,7.0
1.8,0.55,58.7685135,17.0
0.975,0.2375,7.55514175,7.0
1.4375,0.3625,27.62658775,8.0
1.575,0.425,32.16250775,13.0
1.2,0.325,13.62193475,8.0
1.525,0.425,31.9498865,9.0
1.525,0.3875,28.76056775,9.0
1.2375,0.2875,17.5483405,9.0
1.5125,0.4375,31.071052,17.0
1.625,0.425,38.96638775,11.0
1.4875,0.35,24.607366,9.0
0.975,0.2375,7.9095105,7.0
1.475,0.375,27.6974615,9.0
1.375,0.375,25.27357925,10.0
0.6375,0.1625,2.608154,7.0
1.45,0.3875,29.9087225,10.0
1.4,0.375,25.51455,8.0
1.275,0.325,18.01610725,9.0
1.4875,0.4,28.7180435,10.0
1.425,0.3625,25.67047225,10.0
0.5875,0.125,1.38271825,4.0
0.9875,0.2,8.8733935,7.0
1.65,0.45,51.7378375,10.0
0.4375,0.1125,0.75126175,5.0
1.0875,0.2625,10.035723,7.0
1.05,0.25,10.44679075,7.0
1.3625,0.375,25.44367625,12.0
0.9,0.2375,6.066793,5.0
1.3125,0.35,20.638436,13.0
1.125,0.275,11.226402,8.0
0.8125,0.2125,4.80524025,6.0
1.5625,0.4375,30.91512975,11.0
1.375,0.425,23.756881,9.0
1.5125,0.3875,32.50270175,10.0
1.4,0.325,20.28406725,11.0
1.3,0.3625,17.61921425,13.0
1.4125,0.375,26.63435525,13.0
1.1,0.275,10.73028575,8.0
1.5625,0.475,37.42134,20.0
1.6125,0.475,39.02308675,11.0
1.5875,0.4375,37.194544,20.0
1.4,0.3875,23.870279,12.0
1.575,0.4625,35.25260325,16.0
1.1,0.3125,11.89261525,9.0
1.45,0.35,25.8830935,9.0
0.8,0.225,4.72019175,6.0
1.5,0.4375,35.81959325,10.0
1.1,0.275,11.7650425,6.0
1.25,0.3,17.02387475,8.0
1.175,0.2625,12.6722265,11.0
1.3125,0.375,20.184844,13.0
1.875,0.575,58.7685135,11.0
1.5,0.4125,33.849303,10.0
1.5125,0.4375,34.7848365,13.0
0.625,0.15,2.16873675,6.0
1.2875,0.3125,13.33843975,12.0
1.625,0.4125,37.32211675,13.0
0.7,0.2,2.59397925,5.0
1.5625,0.4125,31.6096925,9.0
1.45,0.4125,27.28639375,14.0
1.6,0.4375,41.00755175,11.0
1.45,0.425,28.36367475,14.0
1.3125,0.3125,18.4555245,9.0
1.6125,0.4,36.117263,11.0
1.3,0.3125,17.95940825,9.0
1.5375,0.425,34.8415355,10.0
1.7,0.45,42.807745,10.0
1.375,0.3375,20.0430965,8.0
1.1375,0.2875,13.39513875,14.0
1.575,0.375,34.5013415,10.0
1.1875,0.3,13.90542975,9.0
0.4375,0.1375,0.66621325,6.0
1.5625,0.3625,27.8108595,9.0
1.05,0.2625,10.30504325,7.0
0.6875,0.2,3.89805625,5.0
0.975,0.225,9.468733,7.0
1.25,0.3375,14.55746825,8.0
1.5375,0.4125,36.61337925,11.0
1.5375,0.4875,40.24211525,10.0
1.175,0.3,14.18892475,8.0
1.7125,0.5,50.6605565,8.0
1.425,0.4125,25.51455,9.0
1.6125,0.3875,37.3765,11.0
1.3375,0.3375,20.41164,8.0
0.9875,0.2125,7.144074,7.0
1.5875,0.4375,34.9549335,13.0
1.3875,0.3375,23.7285315,9.0
1.125,0.3125,13.8062065,8.0
1.375,0.4,22.92057075,9.0
1.55,0.4125,36.61337925,11.0
0.9375,0.25,7.98038425,7.0
1.425,0.3625,28.22192725,11.0
1.5,0.375,27.499015,10.0
1.3875,0.4125,25.684647,10.0
1.5625,0.4,31.808139,10.0
1.5,0.4,25.67047225,9.0
1.5625,0.4125,32.034935,10.0
1.5625,0.4,30.5324115,10.0
0.4125,0.0625,0.69456275,4.0
1.45,0.375,26.32251075,10.0
0.75,0.15,4.082328,6.0
1.4,0.4,31.75144,12.0
1.3625,0.3125,22.21183325,15.0
1.5375,0.4375,36.25532375,18.0
1.0125,0.225,9.25611175,6.0
1.3625,0.35,21.4038725,9.0
1.4625,0.375,27.9242575,9.0
1.375,0.325,20.638436,9.0
1.375,0.325,19.85882475,15.0
1.575,0.4125,33.9910505,9.0
1.4375,0.3625,23.983677,8.0
1.525,0.4125,33.46658475,10.0
1.4625,0.375,26.7902775,9.0
1.575,0.425,31.638042,11.0
1.55,0.4125,35.19590425,11.0
0.75,0.225,3.67126025,6.0
1.15,0.25,14.571643,8.0
1.175,0.3125,14.16057525,9.0
1.0375,0.25,9.19941275,7.0
1.8,0.5125,47.8823055,11.0
1.5625,0.4,34.9549335,15.0
1.1875,0.3,14.72756525,8.0
1.3875,0.425,21.58814425,9.0
1.0375,0.25,8.66077225,7.0
1.2125,0.35,14.69921575,8.0
1.1875,0.25,14.2030995,7.0
0.925,0.225,6.463686,6.0
0.8,0.1875,3.27436725,6.0
1.625,0.4125,37.98833,11.0
1.6375,0.4375,37.1094955,16.0
0.525,0.1375,1.13398,5.0
1.125,0.3125,15.932419,9.0
1.175,0.3,14.571643,9.0
1.4,0.4,26.2799865,9.0
1.6125,0.3875,35.777069,23.0
1.5,0.4,37.98833,14.0
1.7625,0.5,47.18774275,10.0
1.675,0.475,39.02308675,16.0
1.4625,0.4,29.0582375,9.0
1.175,0.2875,17.4349425,10.0
0.8,0.1875,4.309124,9.0
1.5375,0.4125,37.77570875,18.0
1.5875,0.4125,32.0065855,10.0
1.625,0.45,36.47163175,10.0
1.025,0.3125,9.48290775,11.0
1.375,0.3375,20.1564945,9.0
1.2125,0.3125,17.349894,11.0
1.4625,0.375,26.80445225,9.0
0.8375,0.2,4.91863825,11.0
1.6,0.3875,32.205032,9.0
1.8,0.5,55.46579675,17.0
1.4375,0.4,24.28134675,17.0
1.4375,0.375,29.15746075,11.0
1.3625,0.375,18.75319425,15.0
1.5375,0.425,37.03862175,14.0
1.1625,0.3,13.39513875,9.0
1.2625,0.425,21.70154225,13.0
1.4375,0.475,25.51455,17.0
1.6,0.4125,37.11590275,14.0
1.1375,0.25,12.94154675,8.0
1.0875,0.275,10.2908685,10.0
1.5625,0.4375,32.16250775,10.0
0.9625,0.2375,7.93786,7.0
1.4875,0.4375,34.79901125,17.0
1.0625,0.2375,10.3475675,6.0
1.475,0.375,24.08290025,8.0
1.625,0.4375,39.81687275,18.0
0.675,0.2,3.005047,9.0
0.825,0.1625,3.6003865,6.0
1.6125,0.4375,39.76017375,16.0
0.875,0.1875,6.13766675,6.0
1.3,0.3375,21.1203775,9.0
0.9625,0.2375,7.81028725,7.0
1.2125,0.3,15.365429,9.0
1.6375,0.4375,38.51279575,10.0
1.7625,0.45,44.38114225,14.0
1.4875,0.35,28.50542225,14.0
1.5875,0.375,34.5013415,8.0
0.7375,0.1875,3.67126025,7.0
0.6,0.1625,2.0128145,5.0
1.125,0.2875,12.28950825,8.0
1.625,0.4125,37.9032815,10.0
1.4625,0.4,26.1665885,10.0
1.1875,0.25,11.7650425,7.0
0.9875,0.25,8.15048125,7.0
1.0875,0.275,11.60912025,8.0
1.3,0.3,16.76872925,9.0
1.625,0.4625,39.19318375,11.0
1.275,0.3,17.02387475,13.0
1.375,0.375,24.9192105,10.0
1.1,0.2875,14.7133905,9.0
1.2125,0.3125,16.8112535,10.0
1.0125,0.25,8.618248,7.0
1.525,0.425,34.06192425,11.0
1.1,0.275,12.6722265,8.0
1.625,0.4375,35.98969025,12.0
0.9375,0.1875,6.59125875,6.0
1.6125,0.425,41.80133775,11.0
1.65,0.45,33.3106625,11.0
1.525,0.4625,38.215126,24.0
1.4125,0.3,25.84056925,8.0
1.5125,0.3875,27.45649075,11.0
1.5,0.45,38.55532,13.0
1.325,0.35,19.57532975,9.0
1.2625,0.325,18.27125275,9.0
1.45,0.375,24.5790165,8.0
1.2,0.2625,17.4349425,8.0
1.6375,0.375,36.85435,14.0
1.0375,0.2625,9.07184,7.0
1.6125,0.4375,37.1094955,15.0
1.1125,0.275,12.99824575,7.0
1.5875,0.4375,35.22425375,10.0
1.075,0.2375,10.4609655,7.0
1.275,0.3125,17.7184375,10.0
1.5,0.4,29.426781,9.0
1.625,0.4375,36.117263,10.0
1.4375,0.3625,28.98736375,19.0
1.725,0.4875,47.86813075,10.0
0.4,0.0625,0.5953395,4.0
0.675,0.175,2.83495,6.0
1.5125,0.35,26.251637,9.0
1.6125,0.5,42.2124055,11.0
1.65,0.475,40.89123725,21.0
1.5625,0.4125,32.78619675,10.0
1.5125,0.4,30.333965,13.0
1.0875,0.3,10.716111,7.0
1.45,0.4,30.1922175,9.0
0.7375,0.2125,3.67126025,5.0
0.9,0.2375,6.98815175,6.0
1.6,0.4125,38.725417,10.0
1.625,0.4125,39.405805,9.0
1.15,0.2625,14.72756525,7.0
1.1875,0.2875,14.004653,10.0
1.0625,0.3125,11.43902325,9.0
1.3125,0.35,16.5277585,8.0
1.7,0.4875,50.745605,13.0
1.0,0.225,7.95203475,7.0
1.575,0.425,32.33260475,11.0
1.2375,0.3125,15.09610875,11.0
1.675,0.4375,39.70347475,13.0
0.5125,0.1375,0.89300925,5.0
1.175,0.3,15.43630275,8.0
1.625,0.475,43.02036625,11.0
1.225,0.3125,18.27125275,11.0
1.275,0.3125,16.91047675,8.0
1.3125,0.325,21.0069795,10.0
1.575,0.475,35.4652245,16.0
1.7,0.475,45.7277435,17.0
1.475,0.3875,28.05183025,8.0
1.1375,0.25,12.927372,8.0
1.1125,0.3,11.94931425,10.0
1.5625,0.425,32.31843,11.0
1.4375,0.3875,30.51823675,11.0
1.3,0.35,17.349894,9.0
1.5,0.4,28.44872325,9.0
1.0875,0.2375,8.57572375,7.0
1.55,0.45,33.6508565,10.0
1.3,0.325,17.7184375,8.0
1.55,0.3875,31.56716825,10.0
1.1875,0.35,13.8062065,11.0
1.4625,0.3625,26.26581175,10.0
0.7375,0.1875,3.3168915,6.0
1.3125,0.3,14.81261375,8.0
1.65,0.4125,34.8415355,9.0
1.4375,0.3875,31.5529935,10.0
1.525,0.425,30.94347925,12.0
1.7125,0.4375,40.86580425,10.0
1.425,0.4,26.818627,15.0
1.45,0.3875,26.2232875,8.0
1.425,0.3625,26.52095725,16.0
0.875,0.2125,5.556502,7.0
1.5125,0.4375,34.8415355,9.0
0.675,0.2,2.59397925,6.0
1.525,0.4125,32.16250775,12.0
1.3625,0.3375,21.9708625,11.0
1.1,0.275,10.41844125,10.0
1.2625,0.3,17.50581625,9.0
1.0375,0.25,9.31281075,7.0
1.6875,0.4,42.354153,9.0
1.2,0.35,13.90542975,9.0
1.2125,0.35,16.7120303,8.0
0.6875,0.175,3.38776525,5.0
1.2125,0.3625,16.6978555,8.0
1.5125,0.3625,27.499015,9.0
1.575,0.375,31.22697425,18.0
1.525,0.375,32.16250775,8.0
1.5375,0.3875,29.540179,9.0
0.9875,0.275,8.674947,7.0
1.4625,0.4125,30.6458095,11.0
1.35,0.35,22.75047375,14.0
1.55,0.4,30.94347925,12.0
1.3625,0.3625,24.720764,10.0
1.6125,0.5,57.16676675,20.0
1.5,0.425,31.22697425,13.0
0.7875,0.175,4.2807745,5.0
1.625,0.4125,35.6920205,14.0
1.4,0.375,26.308336,11.0
0.875,0.2,5.6699,6.0
1.625,0.4375,42.297454,10.0
1.4625,0.3625,31.127751,14.0
1.425,0.4,24.040376,8.0
1.3,0.2875,18.86659225,11.0
0.8125,0.225,7.2858215,6.0
1.25,0.3125,18.01610725,7.0
1.375,0.375,23.7285315,9.0
1.4375,0.4,28.19357775,8.0
1.525,0.4125,29.993771,12.0
1.4,0.4,28.576296,12.0
1.1,0.325,12.94154675,10.0
1.2125,0.325,16.953001,10.0
1.375,0.3,23.88445375,11.0
1.4,0.375,24.76328825,9.0
0.875,0.2,6.4353365,6.0
1.4,0.3125,22.12678475,10.0
1.1625,0.2875,13.267566,7.0
1.4375,0.375,24.437269,10.0
1.6125,0.5,39.56172725,17.0
1.5,0.4,25.51455,9.0
1.45,0.3375,24.67823975,10.0
1.325,0.325,20.638436,8.0
1.6625,0.4125,39.405805,17.0
1.6375,0.3875,38.78114975,11.0
0.875,0.225,5.10291,11.0
1.6125,0.4875,36.25532375,13.0
0.7,0.15,2.8066005,6.0
1.5375,0.4,31.581343,9.0
0.9125,0.2125,5.06038575,6.0
1.5625,0.4125,30.51823675,17.0
1.3125,0.3375,16.96717575,10.0
1.4625,0.35,24.1821235,11.0
1.2,0.275,14.855138,8.0
1.225,0.3,16.11669075,15.0
1.625,0.375,35.096681,11.0
1.25,0.2625,15.252031,9.0
1.1,0.3,12.190285,8.0
